uniquewords,ADJ-PART,words,sentences,av_word_len,ADV-VERB,would,ADJ,NOUN-PUNCT,of,test_score,confidencehedged,confidencehigh
108,2,309,14,4.48867313915858,3,0,20,26,11,0,1,0
124,0,312,14,4.51923076923077,4,2,23,15,6,1,3,7
163,0,345,11,4.19420289855072,6,3,23,13,4,1,5,4
112,0,330,17,4.18787878787879,5,0,21,16,3,0,2,2
145,0,329,28,4.13981762917933,10,1,23,15,5,0,4,6
217,0,389,25,4.7840616966581,9,2,34,25,18,1,2,1
111,0,311,19,3.81993569131833,8,1,42,16,2,0,4,0
131,5,313,12,4.68370607028754,4,0,36,27,10,1,5,5
168,1,347,17,4.53025936599424,10,0,36,18,11,1,5,3
141,1,302,25,4.60927152317881,5,1,15,14,5,0,5,6
176,3,349,12,4.61318051575931,12,1,35,26,13,1,7,1
142,0,296,31,4.4527027027027,1,0,22,29,9,0,1,3
168,0,372,14,4.21236559139785,8,0,27,10,10,1,4,3
159,1,315,16,4.1047619047619,7,0,25,22,1,0,2,5
131,0,309,12,4.17152103559871,5,0,20,18,7,0,1,2
157,2,359,16,4.4066852367688,10,0,17,13,9,1,5,5
142,1,334,22,4.2814371257485,9,0,27,14,6,0,2,1
156,0,311,18,4.59485530546624,9,1,28,19,14,1,9,7
162,1,336,16,4.66071428571429,10,0,32,21,15,1,1,4
149,0,345,15,4.39710144927536,6,0,26,34,3,0,8,5
158,2,322,17,4.20807453416149,6,0,33,12,13,0,8,1
159,1,329,14,4.93009118541033,4,2,39,14,4,1,6,1
160,2,323,18,4.80185758513932,10,6,23,14,12,1,4,3
129,0,333,20,3.90990990990991,14,4,29,15,5,1,4,0
117,0,302,26,4.23509933774834,10,1,17,12,1,0,3,10
135,1,307,14,4.30944625407166,4,0,29,15,6,0,7,1
135,0,319,13,4.09404388714734,5,1,12,22,6,0,3,1
127,2,324,20,4.62345679012346,9,0,16,14,3,0,7,4
127,0,303,25,4.65016501650165,7,0,28,36,9,0,15,7
117,0,317,24,4.26498422712934,9,0,37,18,2,0,2,7
117,0,325,11,3.90461538461538,11,0,30,6,9,0,0,0
159,3,325,26,4.38461538461539,4,2,27,20,10,1,7,0
178,3,353,13,4.56373937677054,7,0,57,14,5,1,3,0
140,3,298,21,3.98993288590604,6,0,18,19,7,1,7,2
102,2,330,4,4.54545454545455,3,0,30,21,7,0,8,8
151,0,356,15,4.43820224719101,5,14,30,16,13,1,5,2
124,0,325,10,4.11076923076923,8,0,27,12,0,0,7,2
124,0,314,24,4.62420382165605,3,0,42,15,13,0,2,13
142,2,305,16,4.26229508196721,3,0,25,20,9,0,5,0
157,0,349,14,4.37822349570201,15,3,28,19,4,1,6,2
152,0,324,15,4.47839506172839,13,3,35,21,7,1,3,7
147,0,302,13,4.16225165562914,10,0,18,18,4,0,4,2
144,0,307,15,4.19218241042345,1,0,13,18,1,0,1,3
129,1,317,18,4.60252365930599,13,0,18,18,6,1,5,3
140,1,302,20,4.39735099337748,1,0,24,22,3,0,8,2
165,0,358,9,4.77094972067039,8,0,21,11,30,0,7,4
156,0,352,15,4.76988636363636,8,0,32,24,16,1,4,3
145,0,311,22,4.31189710610932,5,0,15,21,3,0,4,8
144,4,318,11,4.63836477987421,2,0,30,17,5,1,1,11
149,1,322,13,4.40372670807453,10,0,30,16,4,0,5,7
162,2,326,20,4.6840490797546,7,0,44,24,7,1,5,2
99,0,301,28,4.78405315614618,10,0,35,25,4,0,8,4
115,0,319,6,4.09717868338558,9,0,13,8,3,0,5,4
169,1,321,15,4.30841121495327,3,0,25,22,11,0,2,1
170,0,322,16,4.56521739130435,8,0,30,13,5,1,4,11
124,0,305,25,4.69836065573771,7,0,24,22,12,0,3,5
146,0,314,15,4.02229299363057,5,1,25,19,1,0,2,6
132,0,311,5,4.23151125401929,8,0,20,20,4,0,6,2
95,0,306,19,4.47058823529412,4,0,13,22,6,0,11,7
171,3,346,20,4.76589595375723,11,0,20,22,4,1,2,6
162,0,325,14,4.24,6,0,24,21,5,0,3,9
141,0,348,25,4.87068965517241,10,3,35,24,7,1,9,3
138,0,319,5,4.36050156739812,12,0,14,20,5,0,1,4
158,2,331,12,4.41389728096677,10,5,26,19,4,1,6,3
158,0,354,11,4.37853107344633,8,0,38,18,7,1,2,3
116,2,313,19,4.31948881789137,13,0,12,16,1,0,5,4
142,2,326,11,4.58282208588957,6,1,30,18,8,1,3,10
151,1,319,12,4.32601880877743,5,0,32,17,9,0,2,1
135,1,304,20,3.87171052631579,8,0,15,13,6,0,2,1
125,0,305,21,4.06885245901639,6,0,35,13,10,0,4,8
157,0,337,12,4.51038575667656,5,1,36,11,9,0,1,2
161,1,353,22,4.76487252124646,6,2,22,18,8,1,5,12
120,0,320,8,4.421875,2,0,19,11,10,0,3,5
118,0,318,19,4.37421383647799,4,2,33,17,7,0,5,17
190,1,330,17,5.11212121212121,11,4,26,23,10,1,0,0
174,1,341,17,4.36363636363636,8,0,42,20,12,1,1,3
180,0,344,15,5.0203488372093,12,0,49,17,7,1,3,5
147,2,332,17,4.4789156626506,10,1,34,18,5,0,3,5
152,6,345,18,4.34782608695652,12,0,29,16,4,1,2,6
139,2,299,16,4.83946488294314,10,0,27,32,14,1,5,2
161,1,339,15,4.52507374631268,13,1,40,9,14,1,5,3
133,1,353,21,4.50991501416431,0,0,41,20,13,0,7,7
126,1,315,15,4.54285714285714,7,0,16,16,4,0,5,4
179,0,335,15,4.67761194029851,9,2,38,18,7,1,5,7
164,1,331,19,4.43202416918429,7,0,36,16,5,1,5,7
147,2,304,11,4.54605263157895,8,1,31,19,2,1,7,1
139,2,334,23,4.29940119760479,15,0,22,22,6,0,4,1
177,2,375,22,4.464,4,0,40,15,6,1,6,5
127,0,301,16,5.06312292358804,12,0,25,21,9,1,5,4
186,0,321,16,4.78816199376947,7,1,39,23,8,0,3,2
159,1,323,7,4.14860681114551,9,1,24,11,9,0,3,4
162,0,329,7,4.58358662613982,7,0,25,19,14,1,8,3
157,2,324,11,4.73148148148148,4,3,31,23,9,1,1,3
133,2,330,12,4.06363636363636,8,2,28,24,7,0,4,0
157,0,319,13,4.21003134796238,8,0,20,14,16,1,1,0
126,0,302,12,4.90066225165563,7,0,29,22,3,0,4,13
150,0,316,18,4.15822784810127,10,3,22,17,6,1,8,7
177,0,353,14,4.43059490084986,8,0,30,23,8,1,1,6
150,1,348,20,4.6867816091954,10,0,30,26,0,1,1,7
107,2,304,25,4.83552631578947,12,0,22,26,6,0,12,17
148,0,310,25,4.53225806451613,8,0,24,21,7,0,4,1
130,0,263,20,4.28897338403042,6,0,21,18,12,0,3,2
159,2,305,16,4.58360655737705,13,3,41,18,7,1,1,9
121,0,301,25,4.6578073089701,9,0,27,26,7,0,0,1
164,0,349,29,4.53295128939828,12,0,27,32,7,0,4,2
127,1,309,22,4.16504854368932,12,0,11,18,5,0,2,3
152,3,333,14,4.8978978978979,8,1,23,20,6,1,8,12
184,0,363,18,4.56749311294766,15,1,35,17,11,1,10,3
157,0,361,21,5.0387811634349,17,0,18,15,7,1,20,7
107,0,304,17,4.53289473684211,7,0,25,23,11,0,0,0
169,1,311,26,4.38906752411576,11,2,31,18,5,1,2,3
132,1,301,28,4.51495016611296,10,0,32,27,2,0,8,4
144,0,308,20,4.83766233766234,9,1,23,19,7,1,8,2
159,1,327,13,4.21406727828746,6,4,31,11,13,1,3,2
146,7,341,15,4.31671554252199,10,0,33,28,3,1,5,12
105,0,301,18,4.60132890365449,9,0,34,18,2,0,8,1
138,0,331,28,4.22960725075529,9,0,27,38,3,0,5,5
129,1,325,13,4.17230769230769,8,0,15,8,14,1,0,2
171,0,317,17,4.69085173501577,9,1,21,13,13,1,7,2
165,5,358,18,4.54469273743017,9,2,44,22,10,1,5,11
120,5,356,12,4.62359550561798,14,1,13,13,4,1,1,13
152,0,310,18,4.39032258064516,8,0,27,19,8,0,4,2
180,6,336,12,4.75297619047619,5,0,37,22,16,1,1,12
134,1,333,10,4.56456456456456,5,0,14,10,3,0,7,9
108,1,318,2,3.9811320754717,8,7,40,9,6,0,6,3
136,3,304,25,4.91118421052632,3,0,24,27,6,1,4,6
169,1,328,18,5.05182926829268,13,0,25,20,9,1,7,4
123,0,323,17,3.87616099071207,2,0,20,16,9,0,1,1
116,0,341,8,4.80351906158358,11,0,19,26,2,0,5,7
126,2,310,19,4.28387096774194,12,0,22,17,8,1,4,0
175,0,359,17,4.40111420612813,13,1,39,14,11,1,3,7
101,1,294,12,4.46598639455782,6,0,20,24,3,0,6,3
151,0,325,13,4.34461538461538,11,2,23,22,14,1,1,2
128,0,294,36,4.48299319727891,5,0,31,40,1,0,10,3
145,0,307,26,4.64820846905537,7,0,34,29,2,0,2,4
179,3,341,4,4.5425219941349,8,1,32,3,9,0,6,8
192,2,349,18,4.64469914040115,11,1,35,19,11,1,6,10
142,2,312,22,4.34294871794872,14,1,26,25,0,0,8,11
126,0,320,9,4.159375,4,0,20,11,6,0,2,8
145,0,307,15,4.65472312703583,5,1,28,13,11,1,2,3
112,3,320,21,4.2625,5,0,37,23,12,1,14,3
158,0,337,19,4.29080118694362,12,0,21,23,2,1,9,6
197,1,350,14,4.96857142857143,7,3,46,16,15,1,3,2
141,0,332,19,4.74397590361446,7,0,31,20,9,1,3,0
134,0,326,16,4.15644171779141,12,1,20,13,7,1,7,8
128,0,316,17,4.44936708860759,8,0,41,25,4,1,13,4
157,0,306,20,4.54248366013072,11,1,16,20,5,0,0,1
133,3,326,16,4.72085889570552,4,2,29,21,10,1,5,8
128,0,303,10,4.41584158415842,8,0,29,26,8,0,3,7
187,1,344,15,4.75,8,2,36,15,8,1,8,6
145,0,311,24,4.86495176848875,8,0,25,36,2,0,4,2
